,Date,Energy Required (MU),temp,rain
182,2015-07-02,145.43,34.0,2.5
183,2015-07-03,146.361,35.0,6.3
184,2015-07-04,147.768,36.0,0.0
185,2015-07-05,145.732,37.0,0.0
186,2015-07-06,148.052,36.0,0.0
187,2015-07-07,151.357,35.0,0.0
188,2015-07-08,153.714,36.0,0.4
189,2015-07-09,151.473,36.0,0.0
190,2015-07-10,156.444,36.0,2.2
191,2015-07-11,150.83,35.0,0.1
192,2015-07-12,156.437,35.0,0.0
193,2015-07-13,152.358,37.0,0.0
194,2015-07-14,153.224,36.0,4.7
195,2015-07-15,146.056,34.0,6.8
196,2015-07-16,145.569,34.0,0.2
197,2015-07-17,147.716,35.0,0.0
198,2015-07-18,147.167,35.0,0.3
199,2015-07-19,142.68,34.0,0.2
200,2015-07-20,138.942,34.0,0.1
201,2015-07-21,144.478,35.0,0.0
202,2015-07-22,141.191,33.0,2.6
203,2015-07-23,138.872,33.0,2.1
204,2015-07-24,143.381,34.0,5.9
205,2015-07-25,145.516,34.0,0.5
206,2015-07-26,143.432,34.0,0.1
207,2015-07-27,145.514,35.0,0.0
208,2015-07-28,148.222,35.0,0.0
209,2015-07-29,147.739,35.0,0.0
210,2015-07-30,150.801,35.0,0.0
211,2015-07-31,149.823,34.0,2.1
212,2015-08-01,143.454,34.0,0.0
213,2015-08-02,140.803,34.0,2.3
214,2015-08-03,140.525,34.0,0.0
215,2015-08-04,139.386,34.0,0.8
216,2015-08-05,140.138,33.0,2.3
217,2015-08-06,138.301,34.0,0.0
218,2015-08-07,134.579,34.0,1.6
219,2015-08-08,137.671,33.0,2.9
220,2015-08-09,141.061,33.0,4.9
221,2015-08-10,142.002,33.0,3.9
222,2015-08-11,141.04,32.0,12.4
223,2015-08-12,136.866,29.0,4.9
224,2015-08-13,137.934,30.0,2.0
225,2015-08-14,139.66,33.0,4.3
226,2015-08-15,144.277,33.0,4.6
227,2015-08-16,136.35,32.0,1.1
228,2015-08-17,136.245,32.0,3.1
229,2015-08-18,141.551,32.0,0.0
230,2015-08-19,145.989,32.0,0.0
231,2015-08-20,143.126,34.0,3.1
232,2015-08-21,129.806,30.0,14.2
233,2015-08-22,127.359,30.0,2.5
234,2015-08-23,129.393,32.0,0.3
235,2015-08-24,132.3,32.0,0.0
236,2015-08-25,138.849,33.0,1.7
237,2015-08-26,140.121,32.0,1.9
238,2015-08-27,137.85,31.0,2.0
239,2015-08-28,136.231,30.0,7.2
240,2015-08-29,136.955,31.0,6.7
241,2015-08-30,137.165,32.0,5.6
242,2015-08-31,139.68,33.0,3.3
243,2015-09-01,138.886,30.0,3.2
244,2015-09-02,141.656,33.0,0.0
245,2015-09-03,140.376,33.0,0.0
246,2015-09-04,138.235,33.0,0.0
247,2015-09-05,140.535,31.0,1.1
248,2015-09-06,125.397,30.0,1.4
249,2015-09-07,118.753,31.0,5.4
250,2015-09-08,120.012,32.0,1.7
251,2015-09-09,127.085,32.0,1.3
252,2015-09-10,121.412,31.0,10.5
253,2015-09-11,124.211,32.0,0.5
254,2015-09-12,126.882,30.0,0.3
255,2015-09-13,124.758,28.0,0.0
256,2015-09-14,124.389,29.0,2.9
257,2015-09-15,125.786,28.0,2.4
258,2015-09-16,126.061,31.0,0.2
259,2015-09-17,126.79,30.0,1.8
260,2015-09-18,134.233,31.0,1.5
261,2015-09-19,133.8,31.0,1.9
262,2015-09-20,127.203,30.0,2.4
263,2015-09-21,128.978,32.0,0.0
264,2015-09-22,135.134,32.0,0.0
265,2015-09-23,143.431,33.0,0.0
266,2015-09-24,138.146,33.0,0.1
267,2015-09-25,138.763,33.0,1.5
268,2015-09-26,131.044,33.0,2.5
269,2015-09-27,123.465,32.0,0.0
270,2015-09-28,132.354,31.0,0.1
271,2015-09-29,133.116,31.0,1.0
272,2015-09-30,133.915,30.0,0.7
273,2015-10-01,125.772,30.0,0.1
274,2015-10-02,125.461,30.0,2.5
275,2015-10-03,124.703,32.0,3.7
276,2015-10-04,111.684,32.0,3.6
277,2015-10-05,122.975,31.0,9.3
278,2015-10-06,129.658,31.0,0.8
279,2015-10-07,130.501,31.0,0.0
280,2015-10-08,129.863,31.0,0.0
281,2015-10-09,134.202,32.0,0.0
282,2015-10-10,135.189,33.0,1.2
283,2015-10-11,135.058,33.0,0.0
284,2015-10-12,141.591,32.0,0.0
285,2015-10-13,142.973,32.0,0.0
286,2015-10-14,144.757,32.0,0.0
287,2015-10-15,144.488,32.0,0.6
288,2015-10-16,146.012,30.0,3.0
289,2015-10-17,149.665,30.0,0.3
290,2015-10-18,147.98,30.0,3.5
291,2015-10-19,151.843,30.0,0.2
292,2015-10-20,152.231,31.0,0.1
293,2015-10-21,152.832,31.0,0.1
294,2015-10-22,148.127,31.0,0.0
295,2015-10-23,149.694,31.0,0.0
296,2015-10-24,151.939,29.0,1.3
297,2015-10-25,148.539,29.0,0.1
298,2015-10-26,148.984,29.0,0.0
299,2015-10-27,149.324,28.0,0.0
300,2015-10-28,147.471,29.0,0.1
301,2015-10-29,151.462,29.0,2.7
302,2015-10-30,147.305,29.0,1.8
303,2015-10-31,148.774,29.0,0.0
304,2015-11-01,142.664,28.0,0.0
305,2015-11-02,139.837,26.0,6.3
306,2015-11-03,140.954,28.0,0.3
307,2015-11-04,142.143,28.0,1.2
308,2015-11-05,144.452,29.0,0.8
309,2015-11-06,147.998,29.0,0.0
310,2015-11-07,150.049,29.0,0.0
311,2015-11-08,140.393,29.0,0.0
312,2015-11-09,127.271,23.0,7.8
313,2015-11-10,113.103,22.0,15.1
314,2015-11-11,113.667,27.0,0.0
315,2015-11-12,119.394,28.0,0.0
316,2015-11-13,126.547,27.0,0.0
317,2015-11-14,125.109,27.0,0.0
318,2015-11-15,119.285,28.0,0.0
319,2015-11-16,113.781,22.0,14.4
320,2015-11-17,96.64,21.0,6.8
321,2015-11-18,101.433,26.0,0.1
322,2015-11-19,106.154,26.0,1.8
323,2015-11-20,107.556,26.0,2.3
324,2015-11-21,108.831,27.0,0.2
325,2015-11-22,105.474,28.0,0.0
326,2015-11-23,113.553,27.0,0.0
327,2015-11-24,116.404,27.0,0.0
328,2015-11-25,117.585,27.0,0.1
329,2015-11-26,116.89,27.0,0.0
330,2015-11-27,123.19,27.0,0.0
331,2015-11-28,120.415,27.0,0.0
332,2015-11-29,116.754,27.0,0.0
333,2015-11-30,113.416,24.0,3.8
334,2015-12-01,111.52,25.0,1.7
335,2015-12-02,114.403,24.0,1.3
336,2015-12-03,123.081,28.0,0.0
337,2015-12-04,120.634,28.0,0.0
338,2015-12-05,121.053,27.0,0.0
339,2015-12-06,113.826,27.0,0.0
340,2015-12-07,119.149,27.0,0.0
341,2015-12-08,120.418,26.0,0.0
342,2015-12-09,121.379,26.0,0.0
343,2015-12-10,122.33,26.0,0.0
344,2015-12-11,123.879,27.0,0.0
345,2015-12-12,123.443,28.0,0.0
346,2015-12-13,122.515,27.0,0.0
347,2015-12-14,128.948,27.0,0.0
348,2015-12-15,135.726,26.0,0.0
349,2015-12-16,134.117,27.0,0.0
350,2015-12-17,130.559,27.0,0.0
351,2015-12-18,131.319,25.0,0.0
352,2015-12-19,132.244,25.0,0.0
353,2015-12-20,131.131,25.0,0.0
354,2015-12-21,130.083,27.0,0.0
355,2015-12-22,132.552,28.0,0.0
356,2015-12-23,135.132,27.0,0.0
357,2015-12-24,135.545,28.0,0.0
358,2015-12-25,132.079,27.0,0.2
359,2015-12-26,129.637,24.0,0.0
360,2015-12-27,122.888,25.0,0.0
